"Apple Inc.",141.05
"Alphabet Inc.",840.18
"Amazon.com, Inc.",884.67
"Facebook, Inc.",139.39
"Baidu, Inc. - American Deposita",172.61
"Alibaba Group Holding Limited A",110.21
"TENCENT",230.60
